step/time,Out1,MyParam,MyParamFlag,time
0/12:53:48.181631700,999.0,2.0,0.0,1.0000000000000007
1/12:53:48.181631700,999.0,2.0,0.0,2.000000000000001
2/12:53:48.182165900,999.0,2.0,0.0,2.9999999999999787
3/12:53:48.182165900,999.0,2.0,0.0,3.9999999999999787
4/12:53:48.182165900,999.0,2.0,0.0,4.999999999999979
5/12:53:48.182165900,999.0,2.0,0.0,5.999999999999979
6/12:53:48.182165900,999.0,2.0,0.0,6.999999999999979
7/12:53:48.182165900,999.0,2.0,0.0,7.999999999999979
8/12:53:48.182165900,999.0,2.0,0.0,8.999999999999979
9/12:53:48.182165900,999.0,2.0,0.0,9.999999999999979
10/12:53:48.182709500,999.0,2.0,0.0,10.999999999999979
11/12:53:48.182709500,999.0,2.0,0.0,11.999999999999979
12/12:53:48.182709500,999.0,2.0,0.0,12.999999999999979
13/12:53:48.182709500,999.0,2.0,0.0,13.999999999999979
14/12:53:48.182709500,999.0,2.0,0.0,14.999999999999979
15/12:53:48.183231900,999.0,2.0,0.0,15.999999999999979
16/12:53:48.183231900,999.0,2.0,0.0,17.000000000000156
17/12:53:48.183231900,999.0,2.0,0.0,18.000000000000156
18/12:53:48.183231900,999.0,2.0,0.0,19.000000000000156
19/12:53:48.183231900,999.0,2.0,0.0,20.000000000000156
20/12:53:48.183231900,999.0,2.0,0.0,21.000000000000156
21/12:53:48.183231900,999.0,2.0,0.0,22.000000000000156
22/12:53:48.183231900,999.0,2.0,0.0,23.000000000000156
23/12:53:48.183231900,999.0,2.0,0.0,24.000000000000156
24/12:53:48.184236600,999.0,2.0,0.0,25.000000000000156
25/12:53:48.184236600,999.0,2.0,0.0,26.000000000000156
26/12:53:48.184236600,999.0,2.0,0.0,27.000000000000156
27/12:53:48.184236600,999.0,2.0,0.0,28.000000000000156
28/12:53:48.184236600,999.0,2.0,0.0,29.000000000000156
29/12:53:48.184236600,999.0,2.0,0.0,30.000000000000156
30/12:53:48.184236600,999.0,2.0,0.0,31.000000000000156
31/12:53:48.184236600,999.0,2.0,0.0,32.000000000000156
32/12:53:48.185086800,999.0,2.0,0.0,32.9999999999998
33/12:53:48.185086800,999.0,2.0,0.0,33.9999999999998
34/12:53:48.185086800,999.0,2.0,0.0,34.9999999999998
35/12:53:48.185086800,999.0,2.0,0.0,35.9999999999998
36/12:53:48.185626600,999.0,2.0,0.0,36.9999999999998
37/12:53:48.185626600,999.0,2.0,0.0,37.9999999999998
38/12:53:48.185626600,999.0,2.0,0.0,38.9999999999998
39/12:53:48.185626600,999.0,2.0,0.0,39.9999999999998
40/12:53:48.185626600,999.0,2.0,0.0,40.9999999999998
41/12:53:48.185626600,999.0,2.0,0.0,41.9999999999998
42/12:53:48.186630700,999.0,2.0,0.0,42.9999999999998
43/12:53:48.186630700,999.0,2.0,0.0,43.9999999999998
44/12:53:48.186630700,999.0,2.0,0.0,44.9999999999998
45/12:53:48.186630700,999.0,2.0,0.0,45.9999999999998
46/12:53:48.186630700,999.0,2.0,0.0,46.9999999999998
47/12:53:48.186630700,999.0,2.0,0.0,47.9999999999998
48/12:53:48.187643900,999.0,2.0,0.0,48.9999999999998
49/12:53:48.187643900,999.0,2.0,0.0,49.9999999999998
50/12:53:48.187643900,999.0,2.0,0.0,50.9999999999998
51/12:53:48.188185300,999.0,2.0,0.0,51.9999999999998
